timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,85,85.0,24.32,146.0,21,5.085,53,0,-0.2,146.0,85.0
2,87,88.0,29.34,188.0,21,4.796,53,0,-0.2,167.0,86.5
3,89,84.0,34.48,148.0,21,5.524,53,0,-0.2,160.66666666666666,85.66666666666667
4,91,86.0,40.22,173.0,21,6.009,53,0,-0.2,163.75,85.75
5,92,87.0,47.58,170.0,21,6.252,52,-1,-0.2,165.0,86.0
6,93,88.0,53.8,140.0,21,6.476,52,0,-0.2,160.83333333333334,86.33333333333333
7,95,80.0,60.35,130.0,21,6.559,52,0,-0.2,156.42857142857142,85.42857142857143
8,96,68.0,66.02,47.0,21,6.559,52,0,-0.2,142.75,83.25
9,96,75.0,72.4,149.0,21,6.252,53,1,0.0,143.44444444444446,82.33333333333333
10,97,77.0,79.19,127.0,21,6.476,53,0,0.2,141.8,81.8
11,97,78.0,85.88,89.0,21,6.541,53,0,0.2,137.0,81.45454545454545
12,99,78.0,92.54,151.0,21,6.559,52,-1,0.0,138.16666666666666,81.16666666666667
13,100,79.0,99.4,119.0,21,6.737,52,0,0.0,136.69230769230768,81.0
14,101,79.0,105.81,141.0,21,6.737,52,0,-0.2,137.0,80.85714285714286
15,102,80.0,112.52,155.0,21,6.755,52,0,-0.2,138.2,80.8
16,104,80.0,119.35,123.0,21,6.755,52,0,-0.2,137.25,80.75
17,105,81.0,126.01,133.0,21,6.97,52,0,0.0,137.0,80.76470588235294
18,106,82.0,133.26,133.0,21,6.97,52,0,0.0,136.77777777777777,80.83333333333333
19,107,82.0,140.55,136.0,21,7.035,52,0,0.0,136.73684210526315,80.89473684210526
20,107,82.0,147.55,150.0,21,7.073,52,0,0.0,137.4,80.95
21,108,83.0,154.84,131.0,21,7.073,52,0,0.0,137.0952380952381,81.04761904761905
22,110,83.0,162.1,130.0,20,7.231,52,0,0.0,136.77272727272728,81.13636363636364
23,111,84.0,169.48,130.0,20,7.25,52,0,0.0,136.47826086956522,81.26086956521739
