timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,90,52.0,20.02,227.0,17,3.387,53,0,0.0,227.0,52.0
2,89,61.0,24.31,261.0,17,3.966,53,0,0.0,244.0,56.5
3,89,70.0,29.16,264.0,17,4.525,53,0,0.0,250.66666666666666,61.0
4,89,35.0,34.06,27.0,17,4.525,53,0,0.0,194.75,54.5
5,89,35.0,38.69,42.09090909090909,17,4.497,53,0,0.0,164.21818181818182,50.6
6,89,35.0,43.3,57.18181818181819,17,4.479,53,0,0.0,146.37878787878788,48.0
7,88,35.0,47.8,72.27272727272728,17,4.217,53,0,0.0,135.7922077922078,46.142857142857146
8,87,35.0,52.07,87.36363636363637,17,4.217,53,0,0.0,129.73863636363637,44.75
9,86,37.0,56.27,102.45454545454545,17,4.217,53,0,0.0,126.70707070707073,43.888888888888886
10,85,39.0,60.31,117.54545454545455,17,4.217,53,0,0.0,125.7909090909091,43.4
11,84,41.0,64.21,132.63636363636363,17,4.217,53,0,0.0,126.41322314049586,43.18181818181818
12,83,43.0,67.78,147.72727272727275,17,3.546,53,0,0.0,128.18939393939394,43.166666666666664
13,82,45.0,70.88,162.8181818181818,17,3.172,53,0,0.0,130.85314685314685,43.30769230769231
14,82,47.0,73.8,177.9090909090909,17,2.846,53,0,0.0,134.21428571428572,43.57142857142857
15,83,49.0,75.82,193.0,17,2.846,53,0,0.0,138.13333333333333,43.93333333333333
16,84,58.0,78.81,302.0,17,3.219,53,0,0.0,148.375,44.8125
17,88,70.0,82.51,308.0,17,3.928,53,0,0.0,157.76470588235293,46.294117647058826
18,89,70.0,86.82,316.0,17,4.413,53,0,0.0,166.55555555555554,47.611111111111114
19,94,69.0,91.64,316.0,17,5.067,53,0,0.0,174.42105263157896,48.73684210526316
20,96,73.0,97.11,280.0,17,5.636,53,0,0.0,179.7,49.95
21,99,73.0,102.82,332.0,17,5.776,53,0,0.0,186.95238095238096,51.04761904761905
22,102,78.0,108.99,332.0,17,6.569,53,0,0.0,193.54545454545453,52.27272727272727
23,104,50.0,115.1,67.0,17,6.569,53,0,0.0,188.04347826086956,52.17391304347826
24,105,80.0,121.33,117.0,17,6.261,53,0,0.0,185.08333333333334,53.333333333333336
25,106,80.0,127.64,117.0,17,6.261,53,0,0.0,182.36,54.4
26,107,80.0,133.88,120.0,17,5.841,53,0,0.0,179.96153846153845,55.38461538461539
27,108,81.0,139.96,176.0,17,6.13,53,0,0.0,179.8148148148148,56.333333333333336
28,108,83.0,146.41,172.0,17,6.242,53,0,0.0,179.53571428571428,57.285714285714285
29,109,83.0,153.43,151.0,17,6.261,53,0,0.0,178.55172413793105,58.172413793103445
30,110,84.0,160.51,159.0,17,6.569,53,0,0.0,177.9,59.03333333333333
31,110,84.0,167.54,174.0,17,6.597,53,0,0.0,176.13333333333333,60.1
32,111,85.0,174.6,141.0,17,6.634,53,0,0.0,172.13333333333333,60.9
33,112,84.0,181.5,128.0,17,6.634,53,0,0.0,167.6,61.36666666666667
34,112,84.0,188.27,163.0,17,6.83,53,0,0.0,172.13333333333333,63.0
35,113,84.0,195.28,202.0,17,6.914,53,0,0.0,177.46363636363637,64.63333333333334
36,113,85.0,202.35,174.0,17,6.933,53,0,0.0,181.35757575757577,66.3
37,114,86.0,209.42,126.0,17,6.942,53,0,0.0,183.14848484848483,68.0
38,114,86.0,216.66,120.0,17,6.979,53,0,0.0,184.23636363636362,69.7
39,115,86.0,223.91,186.0,17,7.017,53,0,0.0,187.02121212121213,71.33333333333333
40,116,87.0,231.2,147.0,17,7.082,53,0,0.0,188.0030303030303,72.93333333333334
41,117,88.0,238.71,172.0,17,7.082,53,0,0.0,189.3151515151515,74.5
42,118,89.0,246.29,204.0,17,7.175,53,0,0.0,191.1909090909091,76.03333333333333
43,119,90.0,253.89,172.0,17,7.203,53,0,0.0,191.4969696969697,77.53333333333333
44,119,89.0,261.45,158.0,17,7.241,53,0,0.0,190.83333333333334,78.93333333333334
45,120,89.0,269.09,155.0,17,7.297,53,0,0.0,189.56666666666666,80.26666666666667
46,120,89.0,276.71,144.0,17,7.362,53,0,0.0,184.3,81.3
47,120,89.0,284.34,133.0,17,7.455,53,0,0.0,178.46666666666667,81.93333333333334
48,121,89.0,292.1,141.0,17,7.455,53,0,0.0,172.63333333333333,82.56666666666666
49,121,90.0,299.77,178.0,17,7.474,53,0,0.0,168.03333333333333,83.26666666666667
50,121,90.0,307.4,200.0,16,7.474,53,0,0.0,165.36666666666667,83.83333333333333
51,121,91.0,315.07,213.0,16,7.474,53,0,0.0,161.4,84.43333333333334
52,122,92.0,322.9,219.0,16,7.511,53,0,0.0,157.63333333333333,84.9
53,122,93.0,330.8,140.0,16,7.53,53,0,0.0,160.06666666666666,86.33333333333333
54,123,93.0,338.63,177.0,16,7.549,53,0,0.0,162.06666666666666,86.76666666666667
55,124,93.0,346.53,144.0,16,7.558,53,0,0.0,162.96666666666667,87.2
56,125,93.0,354.52,124.0,16,7.577,53,0,0.0,163.1,87.63333333333334
57,125,94.0,362.56,158.0,16,7.688,53,0,0.0,162.5,88.06666666666666
58,126,94.0,370.7,146.0,16,7.782,53,0,0.0,161.63333333333333,88.43333333333334
59,127,94.0,378.75,127.0,16,7.782,53,0,0.0,160.83333333333334,88.8
60,128,94.0,386.64,127.0,16,7.782,53,0,0.0,159.76666666666668,89.13333333333334
61,129,94.0,394.46,155.0,16,7.782,53,0,0.0,159.13333333333333,89.46666666666667
62,129,94.0,402.4,157.0,16,7.782,53,0,0.0,159.66666666666666,89.76666666666667
63,129,95.0,410.53,168.0,16,7.8,52,-1,-0.2,161.0,90.13333333333334
64,129,95.0,418.58,167.0,16,7.8,52,0,-0.2,161.13333333333333,90.5
65,130,95.0,426.68,151.0,16,7.95,52,0,-0.2,159.43333333333334,90.86666666666666
66,130,95.0,434.75,145.0,16,7.95,52,0,-0.2,158.46666666666667,91.2
67,130,96.0,442.75,170.0,16,7.95,52,0,-0.2,159.93333333333334,91.53333333333333
68,129,96.0,450.67,171.0,16,7.95,52,0,0.0,161.63333333333333,91.86666666666666
69,129,95.0,458.71,136.0,16,7.95,52,0,0.0,159.96666666666667,92.16666666666667
70,129,91.0,466.85,173.0,16,7.978,52,0,0.0,160.83333333333334,92.3
71,129,84.0,475.04,152.0,16,7.996,52,0,0.0,160.16666666666666,92.16666666666667
72,128,61.0,483.16,4.0,16,8.006,52,0,0.0,153.5,91.23333333333333
73,127,91.0,491.26,159.0,16,8.006,52,0,0.0,153.06666666666666,91.26666666666667
74,127,92.0,499.31,184.0,16,7.996,52,0,0.0,153.93333333333334,91.36666666666666
75,125,89.0,507.28,242.0,16,7.996,52,0,0.0,156.83333333333334,91.36666666666666
76,125,90.0,515.35,199.0,16,7.996,52,0,0.0,158.66666666666666,91.4
77,125,90.0,523.52,163.0,16,8.006,52,0,0.0,159.66666666666666,91.43333333333334
78,125,90.0,531.71,198.0,16,8.006,52,0,0.0,161.56666666666666,91.46666666666667
79,125,90.0,539.84,180.0,16,8.006,52,0,0.0,161.63333333333333,91.46666666666667
80,125,91.0,548.15,145.0,16,8.09,52,0,0.0,159.8,91.5
81,125,91.0,556.49,156.0,16,8.09,52,0,0.0,157.9,91.5
82,125,92.0,564.79,196.0,16,8.09,52,0,0.0,157.13333333333333,91.5
83,126,92.0,572.99,131.0,16,8.118,52,0,0.0,156.83333333333334,91.46666666666667
84,126,92.0,581.04,106.0,16,8.164,52,0,0.0,154.46666666666667,91.43333333333334
85,126,92.0,589.44,133.0,16,8.192,52,0,0.0,154.1,91.4
86,125,93.0,597.9,160.0,16,8.239,52,0,0.0,155.3,91.4
87,124,82.0,606.21,74.0,16,8.239,52,0,0.0,152.5,91.0
88,123,55.0,614.34,88.75,16,8.239,52,0,0.0,150.59166666666667,89.7
89,122,55.0,622.48,103.5,16,8.239,52,0,0.0,149.80833333333334,88.4
90,122,56.0,630.56,118.25,16,8.239,52,0,0.0,149.51666666666668,87.13333333333334
91,122,83.0,638.53,133.0,16,8.164,52,0,0.0,148.78333333333333,86.76666666666667
92,122,87.0,646.48,110.0,16,8.108,52,0,0.0,147.21666666666667,86.53333333333333
93,122,87.0,654.4,134.0,16,8.08,52,0,0.0,146.08333333333334,86.26666666666667
94,122,87.0,662.11,113.0,16,8.052,52,0,0.0,144.28333333333333,86.0
95,122,89.0,669.55,134.0,16,7.95,52,0,0.0,143.71666666666667,85.8
96,122,90.0,677.44,170.0,16,7.95,52,0,0.0,144.55,85.63333333333334
97,121,90.0,685.47,223.0,16,7.95,52,0,0.0,146.31666666666666,85.43333333333334
98,121,91.0,693.48,223.0,16,7.884,52,0,0.0,148.05,85.26666666666667
