timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,86,77.0,18.05,132.0,25,4.563,52,0,0.0,132.0,77.0
2,87,82.0,23.02,129.0,25,4.161,52,0,0.0,130.5,79.5
3,89,86.0,27.93,101.0,25,4.395,52,0,0.0,120.66666666666667,81.66666666666667
4,90,88.0,33.08,85.0,25,4.899,52,0,0.0,111.75,83.25
5,91,89.0,38.49,91.0,25,4.563,52,0,0.0,107.6,84.4
6,93,89.0,43.79,77.0,25,4.759,52,0,0.0,102.5,85.16666666666667
7,93,90.0,49.31,70.0,25,4.899,52,0,0.0,97.85714285714286,85.85714285714286
8,94,90.0,55.08,66.0,25,5.71,52,0,0.0,93.875,86.375
9,96,91.0,61.01,92.0,25,5.309,52,0,0.0,93.66666666666667,86.88888888888889
10,96,70.0,65.73,19.0,25,5.346,52,0,0.0,86.2,85.2
11,97,54.0,72.88,28.833333333333336,25,5.58,52,0,0.0,80.98484848484848,82.36363636363636
12,98,54.0,79.18,38.66666666666667,25,5.598,52,0,0.0,77.45833333333333,80.0
13,99,53.0,85.43,48.5,25,5.71,52,0,0.0,75.23076923076923,77.92307692307692
14,99,53.0,91.62,58.333333333333336,25,5.981,52,0,0.0,74.02380952380952,76.14285714285714
15,99,27.0,97.75,68.16666666666667,25,5.981,52,0,0.0,73.63333333333334,72.86666666666666
16,99,89.0,103.87,78.0,25,5.99,52,0,0.0,73.90625,73.875
17,100,87.0,110.2,115.0,25,6.046,52,0,0.0,76.32352941176471,74.6470588235294
18,101,87.0,116.52,100.0,25,6.093,52,0,0.0,77.63888888888889,75.33333333333333
19,102,88.0,123.14,93.0,25,6.121,52,0,0.0,78.44736842105263,76.0
20,102,89.0,129.91,99.0,25,6.186,52,0,0.0,79.475,76.65
21,104,89.0,136.77,130.0,25,6.186,52,0,0.0,81.88095238095238,77.23809523809524
22,105,87.0,143.75,106.0,25,6.224,52,0,0.0,82.97727272727273,77.68181818181819
23,107,81.0,150.75,70.0,25,6.392,51,-1,-0.2,82.41304347826087,77.82608695652173
24,108,82.0,157.64,70.0,25,6.485,51,0,-0.2,81.89583333333333,78.0
25,109,83.0,164.43,77.0,25,6.597,51,0,-0.2,81.7,78.2
26,110,83.0,171.42,80.0,25,6.737,51,0,-0.2,81.63461538461539,78.38461538461539
27,111,84.0,178.52,74.0,25,6.755,51,0,-0.2,81.35185185185185,78.5925925925926
28,111,84.0,185.4,63.0,25,6.802,51,0,0.0,80.69642857142857,78.78571428571429
29,112,84.0,192.49,92.0,25,6.858,51,0,0.0,81.08620689655173,78.96551724137932
30,112,85.0,199.84,73.0,25,6.867,51,0,0.0,80.81666666666666,79.16666666666667
31,113,86.0,206.95,60.0,25,6.951,51,0,0.0,78.41666666666667,79.46666666666667
32,112,86.0,214.18,72.0,25,6.961,51,0,0.0,76.51666666666667,79.6
33,112,86.0,221.31,65.0,25,6.998,51,0,0.0,75.31666666666666,79.6
34,111,86.0,228.47,62.0,25,6.998,51,0,0.0,74.55,79.53333333333333
35,111,64.0,235.46,22.0,25,6.998,51,0,0.0,72.25,78.7
36,110,64.0,242.55,22.0,25,7.017,51,0,0.0,70.41666666666667,77.86666666666666
37,108,66.0,249.68,22.0,25,7.017,51,0,0.0,68.81666666666666,77.06666666666666
38,107,66.0,256.47,80.0,25,7.017,50,-1,-0.2,69.28333333333333,76.26666666666667
39,106,84.0,263.18,80.0,25,7.017,50,0,-0.2,68.88333333333334,76.03333333333333
40,106,85.0,269.87,74.0,25,6.923,50,0,-0.2,70.71666666666667,76.53333333333333
41,106,86.0,276.72,75.0,25,6.923,50,0,-0.2,72.25555555555555,77.6
42,106,87.0,283.89,69.0,25,6.923,50,0,-0.2,73.26666666666667,78.7
43,105,87.0,291.4,81.0,24,6.923,50,0,0.0,74.35,79.83333333333333
44,106,87.0,298.86,10.0,24,6.923,50,0,0.0,72.73888888888888,80.96666666666667
45,106,63.0,306.47,10.0,24,7.017,50,0,0.0,70.8,82.16666666666667
46,106,63.0,313.99,22.22222222222222,24,7.166,50,0,0.0,68.94074074074074,81.3
47,106,63.0,321.33,34.44444444444444,24,7.166,50,0,0.0,66.25555555555556,80.5
48,105,61.857142857142854,328.09,46.666666666666664,24,7.017,50,0,0.0,64.47777777777777,79.66190476190475
49,104,60.714285714285715,333.96,58.888888888888886,24,5.972,50,0,0.0,63.34074074074074,78.75238095238095
50,103,59.57142857142857,339.31,71.11111111111111,24,5.449,50,0,0.0,62.41111111111111,77.77142857142857
51,103,58.42857142857143,344.55,83.33333333333333,24,5.188,50,0,0.0,60.85555555555556,76.75238095238095
52,102,57.285714285714285,349.58,95.55555555555554,24,5.048,50,0,0.0,60.507407407407406,75.76190476190476
53,102,56.142857142857146,354.58,107.77777777777777,24,4.917,50,0,0.0,61.766666666666666,74.93333333333334
54,101,55.0,359.92,120.0,24,4.917,50,0,0.0,63.43333333333333,74.03333333333333
55,101,66.0,365.47,125.0,24,5.3,50,0,0.0,65.03333333333333,73.46666666666667
56,100,68.0,370.84,140.0,24,5.3,49,-1,-0.2,67.03333333333333,72.96666666666667
57,100,68.0,376.6,100.0,24,5.3,49,0,-0.2,67.9,72.43333333333334
58,99,70.0,382.68,100.0,24,5.3,49,0,-0.2,69.13333333333334,71.96666666666667
59,99,49.0,388.74,80.0,24,5.3,49,0,-0.2,68.73333333333333,70.8
60,98,71.0,394.66,80.0,24,5.3,49,0,-0.2,68.96666666666667,70.33333333333333
61,97,74.0,400.59,124.0,24,5.356,49,0,0.0,71.1,69.93333333333334
62,97,75.0,406.96,147.0,24,5.384,49,0,0.0,73.6,69.56666666666666
63,97,77.0,413.28,99.0,24,5.869,49,0,0.0,74.73333333333333,69.26666666666667
64,97,63.0,419.91,6.0,24,5.869,49,0,0.0,72.86666666666666,68.5
65,96,75.0,426.56,221.0,24,5.888,49,0,0.0,79.5,68.86666666666666
66,95,75.0,433.27,178.5,24,5.953,49,0,0.0,84.71666666666667,69.23333333333333
67,96,75.0,440.44,136.0,24,5.962,49,0,0.0,88.51666666666667,69.53333333333333
68,96,50.0,447.46,93.5,24,6.046,49,0,0.0,88.96666666666667,69.0
69,96,25.0,454.75,51.0,24,6.709,49,0,0.0,88.0,67.03333333333333
70,96,76.0,462.03,124.0,24,6.364,48,-1,-0.2,89.66666666666667,66.73333333333333
71,96,84.0,469.37,133.0,24,6.457,48,0,-0.2,91.6,66.66666666666667
72,96,85.0,476.65,161.0,24,6.522,48,0,-0.2,94.66666666666667,66.6
73,96,85.0,483.84,159.0,24,6.559,48,0,-0.2,97.26666666666667,66.53333333333333
74,95,88.0,490.83,159.0,24,6.615,48,0,-0.2,102.23333333333333,66.56666666666666
75,96,84.0,498.28,106.0,24,6.709,48,0,0.0,105.43333333333334,67.26666666666667
76,96,83.0,505.91,77.0,24,6.989,48,0,0.0,107.25925925925927,67.93333333333334
77,96,83.0,513.46,87.0,24,7.026,48,0,0.0,109.01111111111112,68.6
