timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,88,71.0,21.01,206.0,19,4.992,55,0,0.0,206.0,71.0
2,88,69.0,26.64,233.0,19,5.57,55,0,0.0,219.5,70.0
3,90,70.0,32.21,251.0,19,5.636,55,0,0.0,230.0,70.0
4,91,75.0,38.35,278.0,19,5.86,55,0,0.0,242.0,71.25
5,93,75.0,44.97,59.0,19,6.112,55,0,0.0,205.4,72.0
6,96,37.0,51.39,59.0,19,6.112,55,0,0.0,181.0,66.16666666666667
7,96,79.0,57.14,91.0,19,5.85,55,0,0.0,168.14285714285714,68.0
8,97,80.0,63.0,108.0,19,5.636,55,0,0.0,160.625,69.5
9,99,80.0,69.18,202.0,19,5.85,55,0,0.0,165.22222222222223,70.66666666666667
10,100,81.0,75.6,170.0,19,5.86,55,0,0.0,165.7,71.7
11,101,82.0,82.28,142.0,19,6.448,54,-1,-0.2,163.54545454545453,72.63636363636364
12,102,83.0,89.51,170.0,19,6.914,55,1,0.0,164.08333333333334,73.5
13,103,86.0,97.08,171.0,19,7.054,54,-1,-0.2,164.6153846153846,74.46153846153847
14,104,90.0,104.69,168.0,19,7.241,54,0,-0.2,164.85714285714286,75.57142857142857
15,105,91.0,112.21,121.0,19,7.39,54,0,-0.2,161.93333333333334,76.6
16,106,91.0,119.96,149.0,19,7.502,54,0,0.0,161.125,77.5
17,106,92.0,128.07,178.0,19,7.754,54,0,-0.2,162.11764705882354,78.3529411764706
18,107,93.0,135.79,151.0,19,7.754,54,0,0.0,161.5,79.16666666666667
19,108,93.0,143.15,180.0,19,7.763,54,0,0.0,162.47368421052633,79.89473684210526
20,109,94.0,151.12,137.0,19,7.39,54,0,0.0,161.2,80.6
21,111,94.0,159.28,136.0,19,7.502,54,0,0.0,160.0,81.23809523809524
22,112,94.0,167.27,136.0,19,7.754,53,-1,-0.2,158.9090909090909,81.81818181818181
23,114,95.0,175.5,137.0,19,7.763,53,0,-0.2,157.95652173913044,82.3913043478261
24,115,95.0,183.59,105.0,19,7.782,53,0,-0.2,155.75,82.91666666666667
25,117,95.0,191.7,100.0,19,7.94,53,0,-0.2,153.52,83.4
26,118,95.0,199.73,109.0,19,7.94,53,0,-0.2,151.80769230769232,83.84615384615384
27,119,96.0,207.74,129.0,19,7.94,53,0,0.0,150.96296296296296,84.29629629629629
28,120,96.0,215.99,95.0,19,7.94,53,0,0.0,148.96428571428572,84.71428571428571
29,120,96.0,225.79,142.0,19,7.94,53,0,0.0,148.72413793103448,85.10344827586206
30,121,97.0,233.91,114.0,19,7.94,53,0,0.0,147.56666666666666,85.5
31,121,97.0,241.86,137.0,19,7.94,53,0,0.0,145.26666666666668,86.36666666666666
32,121,97.0,248.0,147.0,19,7.922,53,0,0.0,142.4,87.3
33,121,97.0,256.16,169.0,19,7.922,53,0,0.0,139.66666666666666,88.2
34,121,98.0,265.56,123.0,19,7.922,52,-1,-0.2,134.5,88.96666666666667
35,122,97.0,273.57,119.0,19,7.94,52,0,-0.2,136.5,89.7
36,122,96.0,282.03,146.0,19,7.922,52,0,-0.2,139.4,91.66666666666667
37,122,96.0,289.82,140.0,19,7.903,52,0,-0.2,141.03333333333333,92.23333333333333
38,123,96.0,298.11,142.0,19,7.996,52,0,-0.2,142.16666666666666,92.76666666666667
39,123,97.0,305.18,139.0,19,7.996,52,0,0.0,140.06666666666666,93.33333333333333
40,124,96.0,314.55,120.0,19,8.015,52,0,0.0,138.4,93.83333333333333
41,124,96.0,323.36,119.0,19,8.062,52,0,0.0,137.63333333333333,94.3
42,124,96.0,331.28,95.0,19,8.062,52,0,0.0,135.13333333333333,94.73333333333333
43,124,96.0,339.97,179.0,19,8.062,51,-1,-0.2,135.4,95.06666666666666
44,124,97.0,351.44,194.0,19,8.062,51,0,-0.2,136.26666666666668,95.3
45,125,98.0,359.15,151.0,19,8.062,51,0,-0.2,137.26666666666668,95.53333333333333
46,125,97.0,366.59,131.0,19,8.043,51,0,-0.2,136.66666666666666,95.73333333333333
47,125,97.0,374.31,139.0,19,8.043,51,0,-0.2,135.36666666666667,95.9
48,125,97.0,382.23,132.0,19,8.043,51,0,0.0,134.73333333333332,96.03333333333333
49,126,97.0,388.69,133.0,19,8.034,51,0,0.0,133.16666666666666,96.16666666666667
50,126,97.0,396.62,128.0,19,8.006,51,0,0.0,132.86666666666667,96.26666666666667
51,126,96.0,404.72,163.0,19,8.006,51,0,0.0,133.76666666666668,96.33333333333333
52,126,96.0,414.66,115.0,19,7.968,51,0,0.0,133.06666666666666,96.4
53,126,95.0,422.77,115.0,18,7.959,51,0,0.0,132.33333333333334,96.4
54,126,92.0,430.53,116.0,18,7.95,51,0,0.0,132.7,96.3
55,126,92.0,438.23,53.0,18,7.912,51,0,0.0,131.13333333333333,96.2
56,126,92.0,445.65,53.0,18,7.465,51,0,0.0,129.26666666666668,96.1
57,124,32.0,452.11,53.0,18,6.653,51,0,0.0,126.73333333333333,93.96666666666667
