timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,88,49.0,22.64,11.0,23,2.183,51,0,0.0,11.0,49.0
2,87,34.0,27.31,11.0,23,2.333,51,0,0.0,11.0,41.5
3,87,19.0,27.31,11.0,23,2.277,51,0,0.0,11.0,34.0
4,87,51.0,27.31,102.0,23,2.333,51,0,0.0,33.75,38.25
5,87,57.0,27.98,111.0,23,2.333,51,0,0.0,49.2,42.0
6,88,61.0,30.21,114.0,23,2.379,51,0,0.0,60.0,45.166666666666664
7,89,65.0,32.86,109.0,23,2.379,51,0,0.0,67.0,48.0
8,90,66.0,35.49,107.0,23,2.426,51,0,0.0,72.0,50.25
9,91,71.0,38.49,109.0,23,2.482,51,0,0.0,76.11111111111111,52.55555555555556
10,92,71.0,41.69,78.0,23,2.659,52,1,0.2,76.3,54.4
11,94,74.0,45.21,78.0,23,2.799,51,-1,0.0,76.45454545454545,56.18181818181818
12,94,76.0,48.81,77.0,23,2.818,51,0,0.0,76.5,57.833333333333336
13,96,77.0,52.73,69.0,23,2.911,51,0,0.0,75.92307692307692,59.30769230769231
14,97,78.0,57.0,68.0,23,3.732,51,0,0.0,75.35714285714286,60.642857142857146
15,97,71.0,61.38,26.0,23,3.947,51,0,-0.2,72.06666666666666,61.333333333333336
16,98,51.0,65.71,37.6875,23,3.947,51,0,0.0,69.91796875,60.6875
17,98,46.0,69.74,49.375,23,3.574,51,0,0.0,68.7095588235294,59.8235294117647
18,98,46.0,73.59,61.0625,23,3.574,51,0,0.0,68.28472222222223,59.05555555555556
19,97,46.0,77.37,72.75,23,3.574,52,1,0.2,68.51973684210526,58.36842105263158
20,96,43.125,80.84,84.4375,23,3.574,52,0,0.2,69.315625,57.60625
21,94,40.25,84.36,96.125,23,3.574,52,0,0.2,70.5922619047619,56.779761904761905
22,93,37.375,87.91,107.8125,23,3.574,52,0,0.2,72.2840909090909,55.89772727272727
23,91,34.5,91.26,119.5,23,3.471,52,0,0.2,74.33695652173913,54.96739130434783
24,89,31.625,93.3,131.1875,23,2.65,52,0,0.0,76.70572916666667,53.994791666666664
25,88,28.75,94.08,142.875,23,1.278,52,0,0.0,79.3525,52.985
26,87,25.875,94.7,154.5625,23,0.0,52,0,0.0,82.2451923076923,51.94230769230769
27,87,23.0,95.77,166.25,52,0.0,52,0,0.0,85.35648148148148,50.870370370370374
28,80,23.0,97.18,177.9375,52,1.176,52,0,0.0,88.66294642857143,49.875
29,79,23.0,98.82,189.625,52,1.176,52,0,0.0,92.14439655172414,48.94827586206897
30,78,23.0,100.6,201.3125,128,1.913,52,0,0.0,95.78333333333333,48.083333333333336
31,78,55.0,103.74,213.0,23,2.762,52,0,0.0,102.51666666666667,48.28333333333333
32,78,36.0,107.29,70.0,23,3.658,52,0,0.0,104.48333333333333,48.35
33,79,82.0,111.01,158.0,23,3.882,52,0,0.0,109.38333333333334,50.45
34,80,91.0,115.13,178.0,22,4.115,52,0,0.0,111.91666666666667,51.78333333333333
35,81,89.0,119.7,157.0,22,4.535,52,0,0.0,113.45,52.85
36,84,68.0,124.59,47.0,23,4.852,52,0,0.0,111.21666666666667,53.083333333333336
37,85,72.0,129.77,136.0,22,4.983,52,0,0.0,112.11666666666666,53.31666666666667
38,87,76.0,135.3,121.0,22,5.496,52,0,0.0,112.58333333333333,53.65
39,88,78.0,140.64,135.0,22,5.496,52,0,0.0,113.45,53.88333333333333
40,90,80.0,146.34,123.0,22,5.617,51,-1,-0.2,114.95,54.18333333333333
41,91,82.0,152.21,124.0,22,5.617,51,0,-0.2,116.48333333333333,54.45
42,92,84.0,158.25,132.0,22,5.841,51,0,-0.2,118.31666666666666,54.71666666666667
43,94,85.0,164.46,150.0,22,5.496,51,0,-0.2,121.01666666666667,54.983333333333334
