timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,79,74.0,17.95,120.0,26,4.245,55,0,0.0,120.0,74.0
2,82,80.0,22.6,131.0,26,4.572,55,0,0.0,125.5,77.0
3,82,77.0,27.64,107.0,26,5.001,55,0,0.0,119.33333333333333,77.0
4,84,81.0,32.91,109.0,26,5.207,55,0,0.0,116.75,78.0
5,86,84.0,38.25,118.0,26,5.43,55,0,0.0,117.0,79.2
6,87,87.0,43.75,135.0,26,5.477,55,0,0.0,120.0,80.5
7,89,90.0,49.43,114.0,26,5.533,55,0,0.0,119.14285714285714,81.85714285714286
8,90,59.0,55.23,8.0,26,5.207,55,0,0.0,105.25,79.0
9,91,59.0,60.86,64.0,26,5.207,55,0,0.0,100.66666666666667,76.77777777777777
10,91,68.0,66.28,64.0,26,5.356,55,0,0.0,97.0,75.9
11,91,75.0,71.88,121.0,26,5.43,55,0,0.0,99.18181818181819,75.81818181818181
12,91,77.0,77.81,94.0,26,5.477,55,0,0.0,98.75,75.91666666666667
13,92,78.0,85.42,78.0,26,6.13,55,0,0.0,97.15384615384616,76.07692307692308
14,92,80.0,90.75,119.0,26,5.748,55,0,0.0,98.71428571428571,76.35714285714286
15,92,83.0,97.6,137.0,26,6.559,55,0,0.0,101.26666666666667,76.8
16,92,85.0,104.57,145.0,26,6.867,55,0,0.0,104.0,77.3125
17,93,86.0,111.71,115.0,26,6.961,55,0,0.0,104.6470588235294,77.82352941176471
18,94,87.0,118.88,93.0,26,6.979,55,0,0.0,104.0,78.33333333333333
19,96,88.0,126.14,109.0,26,6.559,55,0,0.0,104.26315789473684,78.84210526315789
20,97,88.0,133.53,122.0,26,6.867,55,0,0.0,105.15,79.3
21,98,90.0,141.05,140.0,26,6.961,55,0,0.0,106.80952380952381,79.80952380952381
22,99,90.0,148.64,97.0,26,6.979,55,0,0.0,106.36363636363636,80.27272727272727
23,101,91.0,156.08,97.0,26,7.073,55,0,0.0,105.95652173913044,80.73913043478261
24,102,92.0,167.84,99.0,26,7.138,54,-1,-0.2,105.66666666666667,81.20833333333333
25,103,92.0,175.27,88.0,26,7.222,54,0,-0.2,104.96,81.64
26,104,93.0,182.24,97.0,26,7.287,54,0,-0.2,104.65384615384616,82.07692307692308
27,105,94.0,187.87,89.0,26,7.362,54,0,-0.2,104.07407407407408,82.51851851851852
28,106,95.0,196.83,89.0,26,7.399,54,0,-0.2,103.53571428571429,82.96428571428571
29,107,95.0,204.52,104.0,26,7.521,54,0,0.0,103.55172413793103,83.37931034482759
30,107,95.0,212.23,94.0,26,7.567,54,0,0.0,103.23333333333333,83.76666666666667
31,108,96.0,219.98,94.0,26,7.595,54,0,0.0,102.36666666666666,84.5
32,109,96.0,228.02,81.0,26,7.633,54,0,0.0,100.7,85.03333333333333
33,109,96.0,235.85,83.0,25,7.651,54,0,0.0,99.9,85.66666666666667
34,110,96.0,235.85,89.0,25,7.651,54,0,0.0,99.23333333333333,86.16666666666667
35,110,95.0,249.55,104.0,25,7.633,54,0,0.0,98.76666666666667,86.53333333333333
36,110,95.0,256.89,90.0,25,7.679,54,0,0.0,97.26666666666667,86.8
37,110,95.0,264.46,109.0,25,7.679,53,-1,-0.2,97.1,86.96666666666667
38,110,95.0,272.04,106.0,25,7.679,53,0,-0.2,100.36666666666666,88.16666666666667
39,110,94.0,279.64,102.0,25,7.679,53,0,-0.2,101.63333333333334,89.33333333333333
40,110,95.0,287.23,101.0,25,7.679,53,0,-0.2,102.86666666666666,90.23333333333333
41,111,95.0,294.88,98.0,25,7.679,53,0,-0.2,102.1,90.9
42,111,95.0,302.5,101.0,25,7.679,53,0,0.0,102.33333333333333,91.5
43,111,96.0,310.06,120.0,25,7.679,53,0,0.0,103.73333333333333,92.1
44,111,97.0,317.81,125.0,25,7.679,53,0,0.0,103.93333333333334,92.66666666666667
45,112,97.0,325.61,112.0,25,7.744,53,0,0.0,103.1,93.13333333333334
46,112,94.0,333.44,118.0,25,7.782,53,0,0.0,102.2,93.43333333333334
47,113,89.0,341.24,113.0,25,7.782,53,0,0.0,102.13333333333334,93.53333333333333
48,113,89.0,349.05,90.0,25,7.791,53,0,0.0,102.03333333333333,93.6
49,113,89.0,356.96,81.0,25,7.791,53,0,0.0,101.1,93.63333333333334
50,112,89.0,364.73,92.0,25,7.791,53,0,0.0,100.1,93.66666666666667
51,111,89.0,372.47,95.0,25,7.856,53,0,0.0,98.6,93.63333333333334
52,111,89.0,380.39,145.0,25,7.856,52,-1,-0.2,100.2,93.6
53,111,89.0,388.0,127.0,25,7.866,52,0,-0.2,101.2,93.53333333333333
54,110,89.0,395.83,100.0,25,7.866,52,0,-0.2,101.23333333333333,93.43333333333334
55,111,72.0,403.65,47.0,25,7.866,52,0,-0.2,99.86666666666666,92.76666666666667
56,111,54.0,411.31,58.875,25,7.819,52,0,-0.2,98.59583333333333,91.46666666666667
57,111,54.0,418.95,70.75,25,7.819,52,0,0.0,97.9875,90.13333333333334
58,111,54.0,426.04,82.625,25,7.446,52,0,0.0,97.775,88.76666666666667
59,111,45.75,433.0,94.5,25,6.979,52,0,0.0,97.45833333333333,87.125
60,111,37.5,439.46,106.375,25,6.709,52,0,0.0,97.87083333333334,85.20833333333333
61,109,29.25,445.49,118.25,25,6.401,52,0,0.0,98.67916666666666,82.98333333333333
62,108,21.0,451.04,130.125,25,5.972,52,0,0.0,100.31666666666666,80.48333333333333
63,108,22.0,454.95,142.0,25,4.423,52,0,0.0,102.28333333333333,78.01666666666667
64,107,50.0,459.51,187.0,25,4.423,52,0,0.0,105.55,76.48333333333333
65,106,50.0,461.41,187.75,25,3.546,52,0,0.0,108.34166666666667,74.98333333333333
66,105,33.0,465.5,188.5,25,3.546,52,0,0.0,111.625,72.91666666666667
67,104,33.0,469.24,189.25,25,2.659,52,0,0.0,114.3,70.85
68,103,33.0,471.38,190.0,25,2.193,52,0,0.0,117.1,68.78333333333333
69,101,33.375,472.34,190.75,25,1.073,52,0,0.0,120.05833333333334,66.7625
70,101,33.75,474.19,191.5,25,0.877,52,0,0.0,123.075,64.72083333333333
71,99,34.125,474.55,192.25,25,0.728,52,0,0.0,126.21666666666667,62.69166666666667
72,99,34.5,477.28,193.0,25,0.728,52,0,0.0,129.28333333333333,60.675
73,98,34.875,480.15,193.75,25,0.812,52,0,0.0,131.74166666666667,58.6375
74,98,35.25,483.95,194.5,25,1.465,52,0,0.0,134.05833333333334,56.579166666666666
75,98,35.625,487.35,195.25,25,1.465,52,0,0.0,136.83333333333334,54.53333333333333
76,99,36.0,490.69,196.0,25,2.883,52,0,0.0,139.43333333333334,52.6
77,100,53.0,495.89,271.0,25,3.583,52,0,0.0,144.7,51.4
78,100,65.0,501.87,300.0,25,4.245,52,0,0.0,151.7,50.6
79,102,72.0,507.4,284.0,25,4.787,52,0,0.0,158.46666666666667,50.03333333333333
80,103,74.0,513.91,247.0,25,5.412,52,0,0.0,163.63333333333333,49.53333333333333
81,104,74.0,521.04,59.0,25,5.729,52,0,0.0,162.43333333333334,49.03333333333333
82,106,36.0,527.86,59.0,25,6.13,52,0,0.0,159.56666666666666,47.266666666666666
83,108,78.0,535.04,127.0,25,6.14,52,0,0.0,159.56666666666666,46.9
84,109,80.0,542.15,170.0,25,6.14,52,0,0.0,161.9,46.6
85,110,81.0,549.82,146.0,25,6.559,52,0,0.0,165.2,46.9
86,111,81.0,556.58,167.0,25,6.606,52,0,0.0,168.80416666666667,47.8
87,112,79.0,563.87,168.0,25,6.821,52,0,0.0,172.04583333333332,48.63333333333333
88,112,81.0,571.56,119.0,25,7.11,51,-1,-0.2,173.25833333333333,49.53333333333333
89,113,83.0,579.94,151.0,25,7.269,51,0,-0.2,175.14166666666668,50.775
90,114,86.0,587.92,190.0,25,7.577,51,0,-0.2,177.92916666666667,52.391666666666666
91,114,83.0,596.15,164.0,25,7.707,51,0,-0.2,179.45416666666668,54.18333333333333
92,115,76.0,603.85,124.0,25,7.707,51,0,-0.2,179.25,56.016666666666666
93,116,76.0,611.87,103.0,25,7.67,51,0,0.0,177.95,57.81666666666667
94,117,55.0,618.63,82.0,25,7.371,51,0,0.0,174.45,57.983333333333334
95,117,55.0,624.66,61.0,25,6.392,51,0,0.0,170.225,58.15
96,117,55.0,630.19,40.0,25,5.561,51,0,0.0,165.275,58.88333333333333
97,117,32.0,635.27,19.0,25,5.197,51,0,0.0,159.6,58.85
98,117,61.0,640.75,287.0,25,5.197,51,0,0.0,162.83333333333334,59.78333333333333
99,118,69.0,646.73,329.0,25,6.074,51,0,0.0,167.44166666666666,60.97083333333333
100,118,69.0,652.93,300.0,25,6.382,51,0,0.0,171.05833333333334,62.145833333333336
101,119,76.0,659.63,300.0,25,6.382,51,0,0.0,174.65,63.541666666666664
102,120,76.0,666.82,59.0,25,6.382,51,0,0.0,170.18333333333334,64.925
103,120,36.0,674.0,59.0,25,6.382,51,0,0.0,165.69166666666666,64.9625
104,121,78.0,681.08,113.0,25,6.382,51,0,0.0,162.975,66.3875
105,121,79.0,687.84,152.0,25,6.382,51,0,0.0,161.53333333333333,67.83333333333333
