timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,84,61.0,32.44,213.0,27,2.678,53,0,-0.2,213.0,61.0
2,84,68.0,35.67,282.0,27,3.751,53,0,-0.2,247.5,64.5
3,85,71.0,40.66,256.0,26,4.591,53,0,-0.2,250.33333333333334,66.66666666666667
4,87,72.0,47.81,303.0,27,5.421,53,0,-0.2,263.5,68.0
5,88,78.0,54.36,345.0,26,6.102,53,0,-0.2,279.8,70.0
6,90,78.0,60.93,88.0,27,6.364,52,-1,-0.2,247.83333333333334,71.33333333333333
7,92,48.0,67.21,88.0,27,6.373,52,0,-0.2,225.0,68.0
8,93,88.0,72.41,137.0,27,6.401,52,0,-0.2,214.0,70.5
9,95,90.0,80.32,151.0,26,6.102,52,0,-0.2,207.0,72.66666666666667
10,96,90.0,87.66,181.0,26,6.364,52,0,-0.2,204.4,74.4
11,97,93.0,95.13,181.0,27,6.373,52,0,0.0,202.27272727272728,76.0909090909091
12,99,59.0,101.96,50.0,27,6.401,52,0,0.0,189.58333333333334,74.66666666666667
13,100,85.0,108.69,51.0,26,6.615,52,0,0.0,178.92307692307693,75.46153846153847
14,100,92.0,115.51,158.0,27,6.83,52,0,0.0,177.42857142857142,76.64285714285714
15,101,64.0,122.51,5.0,26,6.905,52,0,0.0,165.93333333333334,75.8
16,101,74.0,129.54,105.0,26,6.933,52,0,0.0,162.125,75.6875
17,101,75.0,136.73,153.0,26,6.961,51,-1,-0.2,161.58823529411765,75.6470588235294
18,102,79.0,144.0,187.0,26,7.138,51,0,-0.2,163.0,75.83333333333333
19,102,86.0,151.4,181.0,26,7.166,51,0,-0.2,163.94736842105263,76.36842105263158
20,102,87.0,158.71,156.0,26,7.194,51,0,-0.2,163.55,76.9
21,102,88.0,166.19,184.0,26,7.231,51,0,-0.2,164.52380952380952,77.42857142857143
22,103,89.0,173.81,174.0,27,7.334,51,0,0.0,164.95454545454547,77.95454545454545
23,103,90.0,181.61,162.0,26,7.521,50,-1,-0.2,164.82608695652175,78.47826086956522
24,104,90.0,189.34,164.0,27,7.567,50,0,-0.2,164.79166666666666,78.95833333333333
25,105,91.0,197.26,180.0,27,7.698,50,0,-0.2,165.4,79.44
26,105,92.0,205.3,156.0,27,7.735,50,0,-0.2,165.03846153846155,79.92307692307692
27,106,93.0,213.51,110.0,27,7.81,50,0,-0.2,163.0,80.4074074074074
28,107,93.0,221.69,134.0,27,7.894,50,0,0.0,161.96428571428572,80.85714285714286
29,108,93.0,229.93,115.0,27,7.94,50,0,0.0,160.3448275862069,81.27586206896552
30,108,94.0,238.08,114.0,27,8.034,50,0,0.0,158.8,81.7
31,109,94.0,246.45,148.0,27,8.183,50,0,0.0,156.63333333333333,82.8
32,109,95.0,254.84,160.0,27,8.22,50,0,0.0,152.56666666666666,83.7
33,110,96.0,263.32,141.0,27,8.23,49,-1,-0.2,148.73333333333332,84.53333333333333
34,110,97.0,271.78,165.0,27,8.304,49,0,-0.2,144.13333333333333,85.36666666666666
