timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,83,70.0,8.75,114.0,24,2.351,51,0,0.0,114.0,70.0
2,84,75.0,11.01,114.0,24,3.434,51,0,0.0,114.0,72.5
3,85,79.0,12.73,123.0,24,3.434,51,0,0.0,117.0,74.66666666666667
4,86,84.0,15.19,87.0,24,3.434,51,0,0.0,109.5,77.0
5,87,82.0,17.19,102.0,24,3.182,51,0,0.0,108.0,78.0
6,88,82.0,19.41,6.0,24,2.799,51,0,0.0,91.0,78.66666666666667
7,89,50.0,22.22,6.0,24,3.182,51,0,0.0,78.85714285714286,74.57142857142857
8,90,67.0,22.22,7.0,24,3.182,51,0,0.0,69.875,73.625
9,91,79.0,27.09,67.0,24,3.471,51,0,0.0,69.55555555555556,74.22222222222223
10,92,75.0,29.5,78.0,24,3.471,51,0,0.0,70.4,74.3
11,92,51.0,31.71,78.6470588235294,24,3.471,51,0,0.0,71.14973262032085,72.18181818181819
12,90,42.0,34.19,79.29411764705883,24,3.471,51,0,0.0,71.82843137254902,69.66666666666667
13,90,42.0,36.66,79.94117647058823,24,3.471,51,0,0.0,72.4524886877828,67.53846153846153
14,89,44.0,38.93,80.58823529411765,24,3.452,51,0,0.0,73.03361344537815,65.85714285714286
15,87,44.0,40.88,81.23529411764706,24,3.452,51,0,0.0,73.58039215686274,64.4
16,86,44.0,42.43,81.88235294117646,24,2.893,51,0,0.0,74.09926470588235,63.125
17,86,40.2,43.11,82.52941176470588,24,2.081,51,0,0.0,74.59515570934255,61.7764705882353
18,84,36.4,43.11,83.17647058823529,24,1.269,51,0,0.0,75.0718954248366,60.36666666666666
19,84,32.6,43.11,83.82352941176471,24,0.0,51,0,0.0,75.53250773993807,58.90526315789474
20,84,28.8,43.11,84.47058823529412,24,0.0,51,0,0.0,75.97941176470587,57.4
21,69,25.0,43.87,85.11764705882354,52,0.998,52,1,0.2,76.41456582633053,55.857142857142854
