timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,84,47.0,12.45,215.0,31,2.995,52,0,-0.2,215.0,47.0
2,86,58.0,16.61,256.0,31,3.564,52,0,-0.2,235.5,52.5
3,87,66.0,21.4,273.0,31,4.628,52,0,-0.2,248.0,57.0
4,88,72.0,26.44,289.0,31,4.675,51,-1,-0.2,258.25,60.75
5,89,72.0,31.88,78.0,31,4.843,51,0,-0.2,222.2,63.0
6,91,46.0,37.69,78.0,31,5.552,51,0,-0.2,198.16666666666666,60.166666666666664
7,91,80.0,43.72,125.0,31,5.934,51,0,-0.2,187.71428571428572,63.0
8,91,81.0,50.03,148.0,31,6.102,51,0,-0.2,182.75,65.25
9,92,83.0,56.5,164.0,31,6.308,51,0,0.0,180.66666666666666,67.22222222222223
10,92,86.0,63.13,180.0,31,6.354,51,0,0.0,180.6,69.1
11,93,88.0,69.76,158.0,31,6.503,51,0,0.0,178.54545454545453,70.81818181818181
12,94,89.0,76.41,144.0,31,6.102,51,0,0.0,175.66666666666666,72.33333333333333
13,95,79.0,83.09,92.0,31,6.308,51,0,0.0,169.23076923076923,72.84615384615384
14,95,79.0,89.85,3.0,31,6.354,51,0,0.0,157.35714285714286,73.28571428571429
15,95,79.0,96.46,3.0,31,6.503,51,0,0.0,147.06666666666666,73.66666666666667
16,94,21.0,103.05,4.0,31,6.541,51,0,0.0,138.125,70.375
17,94,92.0,109.58,125.0,31,6.541,51,0,0.0,137.35294117647058,71.6470588235294
18,94,93.0,116.53,129.0,31,6.578,51,0,0.0,136.88888888888889,72.83333333333333
19,94,93.0,123.53,131.0,31,6.625,51,0,0.0,136.57894736842104,73.89473684210526
20,94,93.0,130.47,72.0,31,6.671,51,0,0.0,133.35,74.85
21,94,93.0,137.55,110.0,31,6.709,51,0,0.0,132.23809523809524,75.71428571428571
22,95,94.0,144.78,111.0,31,6.793,51,0,0.0,131.27272727272728,76.54545454545455
23,96,95.0,151.9,112.0,31,6.839,51,0,0.0,130.43478260869566,77.34782608695652
24,97,96.0,158.99,107.0,31,6.933,51,0,0.0,129.45833333333334,78.125
25,98,87.0,166.13,71.0,31,6.933,50,-1,-0.2,127.12,78.48
26,99,84.0,173.21,125.0,31,6.97,50,0,-0.2,127.03846153846153,78.6923076923077
27,100,84.0,180.25,117.0,31,7.007,50,0,-0.2,126.66666666666667,78.88888888888889
28,100,85.0,187.53,140.0,31,7.035,50,0,-0.2,127.14285714285714,79.10714285714286
