timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,71,45.0,2.42,192.0,31,1.969,52,0,0.0,192.0,45.0
2,72,59.0,5.41,249.0,31,2.631,52,0,0.0,220.5,52.0
3,74,71.0,9.43,297.0,31,3.424,52,0,0.0,246.0,58.333333333333336
4,75,37.0,14.31,62.0,31,4.535,52,0,0.0,200.0,53.0
5,77,83.0,19.36,123.0,31,4.619,52,0,0.0,184.6,59.0
6,78,69.0,24.48,63.0,31,5.132,52,0,0.0,164.33333333333334,60.666666666666664
7,79,79.0,29.7,83.0,31,5.039,52,0,0.0,152.71428571428572,63.285714285714285
8,80,80.0,35.09,79.0,31,5.263,52,0,0.0,143.5,65.375
9,81,56.0,40.68,29.0,31,5.402,52,0,0.0,130.77777777777777,64.33333333333333
10,82,62.0,46.04,147.0,31,5.039,52,0,0.0,132.4,64.1
11,82,64.0,51.53,93.0,31,5.132,52,0,0.0,128.8181818181818,64.0909090909091
12,83,65.0,57.22,157.0,31,5.179,52,0,0.0,131.16666666666666,64.16666666666667
13,84,67.0,63.14,131.0,31,5.263,52,0,0.0,131.15384615384616,64.38461538461539
14,84,68.0,69.25,139.0,31,5.402,52,0,0.0,131.71428571428572,64.64285714285714
15,85,69.0,75.47,92.0,31,5.477,52,0,0.0,129.06666666666666,64.93333333333334
16,86,70.0,81.81,86.0,31,5.533,52,0,0.0,126.375,65.25
17,86,72.0,88.09,91.0,31,5.701,52,0,0.0,124.29411764705883,65.6470588235294
18,86,75.0,94.67,90.0,31,5.944,52,0,0.0,122.38888888888889,66.16666666666667
19,87,77.0,101.51,84.0,31,6.018,52,0,0.0,120.36842105263158,66.73684210526316
20,87,78.0,108.36,112.0,31,6.046,52,0,0.0,119.95,67.3
21,87,78.0,115.25,91.0,31,6.186,52,0,0.0,118.57142857142857,67.80952380952381
22,88,78.0,122.32,107.0,31,6.345,52,0,0.0,118.04545454545455,68.27272727272727
23,89,76.0,129.44,107.0,31,6.364,52,0,0.0,117.56521739130434,68.6086956521739
24,90,76.0,136.6,119.0,31,6.765,52,0,0.0,117.625,68.91666666666667
25,92,72.0,143.87,119.0,31,6.839,52,0,0.0,117.68,69.04
26,94,73.0,150.94,141.0,31,6.886,51,-1,-0.2,118.57692307692308,69.1923076923077
27,96,79.0,158.24,124.0,31,6.97,51,0,-0.2,118.77777777777777,69.55555555555556
28,97,81.0,165.48,116.0,31,6.979,51,0,-0.2,118.67857142857143,69.96428571428571
29,99,82.0,172.66,126.0,31,7.026,51,0,-0.2,118.93103448275862,70.37931034482759
30,101,83.0,179.88,94.0,31,7.045,51,0,-0.2,118.1,70.8
31,102,83.0,187.12,111.0,31,7.119,51,0,0.0,115.4,72.06666666666666
32,103,84.0,194.39,111.0,31,7.147,51,0,0.0,110.8,72.9
33,105,85.0,201.83,136.0,31,7.194,51,0,0.0,105.43333333333334,73.36666666666666
34,105,87.0,209.46,125.0,31,7.203,51,0,0.0,107.53333333333333,75.03333333333333
35,105,88.0,217.17,126.0,31,7.241,51,0,0.0,107.63333333333334,75.2
36,105,89.0,225.09,122.0,31,7.446,51,0,0.0,109.6,75.86666666666666
37,104,90.0,233.14,120.0,31,7.446,51,0,0.0,110.83333333333333,76.23333333333333
38,103,90.0,241.02,106.0,31,7.446,50,-1,-0.2,111.73333333333333,76.56666666666666
39,101,90.0,249.02,94.0,31,7.716,50,0,-0.2,113.9,77.7
40,101,90.0,257.02,97.0,31,7.735,50,0,-0.2,112.23333333333333,78.63333333333334
41,100,90.0,265.18,131.0,31,7.763,50,0,-0.2,113.5,79.5
42,99,89.0,273.32,137.0,31,7.875,50,0,-0.2,112.83333333333333,80.3
43,99,83.0,281.32,145.0,31,7.968,50,0,0.0,113.3,80.83333333333333
44,99,81.0,289.35,109.0,31,7.968,50,0,0.0,112.3,81.26666666666667
45,99,81.0,297.33,114.0,31,7.978,50,0,0.0,113.03333333333333,81.66666666666667
46,100,81.0,305.46,114.0,31,7.978,50,0,0.0,113.96666666666667,82.03333333333333
47,100,81.0,313.5,160.0,31,7.978,50,0,0.0,116.26666666666667,82.33333333333333
48,101,81.0,321.24,154.0,31,7.978,50,0,0.0,118.4,82.53333333333333
49,102,81.0,329.04,178.0,31,7.978,50,0,0.0,121.53333333333333,82.66666666666667
50,103,82.0,336.87,157.0,31,7.978,50,0,0.0,123.03333333333333,82.8
51,104,82.0,344.89,125.0,31,7.987,49,-1,-0.2,124.16666666666667,82.93333333333334
52,105,82.0,353.19,126.0,31,7.987,49,0,-0.2,124.8,83.06666666666666
