timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,73,67.0,4.64,204.0,26,2.557,52,0,0.0,204.0,67.0
2,75,68.0,8.72,274.0,26,3.704,52,0,0.0,239.0,67.5
3,76,71.0,13.31,214.0,26,4.283,52,0,0.0,230.66666666666666,68.66666666666667
4,79,71.0,18.27,288.0,26,4.656,52,0,0.0,245.0,69.25
5,81,75.0,23.73,319.0,26,5.001,52,0,0.0,259.8,70.4
6,85,75.0,29.45,71.0,26,5.393,52,0,0.0,228.33333333333334,71.16666666666667
7,87,37.0,35.25,71.0,26,5.552,52,0,0.0,205.85714285714286,66.28571428571429
8,90,78.0,41.03,79.0,26,5.71,52,0,0.0,190.0,67.75
9,92,77.0,46.64,99.0,26,5.58,52,0,0.0,179.88888888888889,68.77777777777777
10,93,77.0,52.19,115.0,26,5.393,52,0,0.0,173.4,69.6
11,95,77.0,57.82,162.0,26,5.393,52,0,0.0,172.36363636363637,70.27272727272727
12,96,77.0,62.91,129.0,26,5.393,52,0,0.0,168.75,70.83333333333333
13,96,77.0,68.19,159.0,26,5.393,52,0,0.0,168.0,71.3076923076923
14,97,78.0,73.61,185.0,26,5.552,53,1,0.2,169.21428571428572,71.78571428571429
15,98,81.0,79.5,161.0,26,5.58,53,0,0.2,168.66666666666666,72.4
16,99,81.0,85.43,164.0,26,5.71,53,0,0.2,168.375,72.9375
17,100,84.0,91.69,188.0,26,5.71,52,-1,0.0,169.52941176470588,73.58823529411765
18,101,86.0,97.61,170.0,26,5.738,52,0,0.0,169.55555555555554,74.27777777777777
19,102,87.0,103.86,155.0,26,6.177,52,0,-0.2,168.78947368421052,74.94736842105263
20,104,87.0,110.52,112.0,26,5.944,52,0,-0.2,165.95,75.55
21,105,80.0,117.34,112.0,26,6.765,52,0,-0.2,163.38095238095238,75.76190476190476
22,106,80.0,124.28,147.0,26,6.643,52,0,0.0,162.63636363636363,75.95454545454545
23,107,80.0,131.09,162.0,26,6.643,52,0,0.0,162.6086956521739,76.1304347826087
24,109,80.0,138.17,162.0,26,6.541,52,0,0.0,162.58333333333334,76.29166666666667
25,110,80.0,144.9,163.0,26,6.578,52,0,0.0,162.6,76.44
26,111,80.0,151.84,173.0,26,6.643,52,0,0.0,163.0,76.57692307692308
