timestamp,heart_rate,cadence,distance,power,temperature,speed,altitude,alt_difference,rolling_ave_alt,power_ma,cadence_ma
1,80,64.0,10.1,299.0,20,2.902,55,0,0.0,299.0,64.0
2,80,74.0,14.32,325.0,20,3.686,55,0,0.0,312.0,69.0
3,80,53.0,19.25,239.0,20,4.768,55,0,0.0,287.6666666666667,63.666666666666664
4,81,53.0,24.13,73.0,20,4.796,55,0,0.0,234.0,61.0
5,82,81.0,28.94,118.0,20,4.805,55,0,0.0,210.8,65.0
6,83,82.0,33.88,103.0,20,4.805,55,0,0.0,192.83333333333334,67.83333333333333
7,83,84.0,38.97,118.0,20,4.768,55,0,0.0,182.14285714285714,70.14285714285714
8,84,85.0,44.08,141.0,20,4.796,55,0,0.0,177.0,72.0
9,85,85.0,49.05,49.0,20,4.796,55,0,0.0,162.77777777777777,73.44444444444444
10,85,65.0,53.94,57.0,20,4.805,55,0,0.0,152.2,72.6
11,86,82.0,58.93,102.0,20,4.945,55,0,0.0,147.63636363636363,73.45454545454545
12,87,82.0,63.94,139.0,20,4.955,55,0,0.0,146.91666666666666,74.16666666666667
13,88,76.0,68.83,164.0,20,5.001,55,0,0.0,148.23076923076923,74.3076923076923
14,90,80.0,73.78,224.0,20,5.001,55,0,0.0,153.64285714285714,74.71428571428571
15,93,84.0,78.97,169.0,20,5.011,55,0,0.0,154.66666666666666,75.33333333333333
16,95,87.0,84.54,146.0,20,5.039,55,0,0.0,154.125,76.0625
17,96,88.0,90.13,169.0,20,5.048,55,0,0.0,155.0,76.76470588235294
18,98,90.0,96.01,169.0,20,5.71,56,1,0.2,155.77777777777777,77.5
19,101,92.0,100.95,178.0,20,5.981,56,0,0.2,156.94736842105263,78.26315789473684
20,103,65.0,108.42,7.0,20,6.158,56,0,0.2,149.45,77.6
21,106,73.0,114.64,127.0,20,6.196,56,0,0.2,148.38095238095238,77.38095238095238
22,108,75.0,121.15,209.0,20,6.289,56,0,0.2,151.13636363636363,77.27272727272727
23,110,76.0,127.99,172.0,20,5.981,56,0,0.0,152.04347826086956,77.21739130434783
24,112,78.0,134.88,183.0,20,6.158,56,0,0.0,153.33333333333334,77.25
25,113,80.0,141.82,170.0,20,6.196,56,0,0.0,154.0,77.36
26,114,80.0,148.89,176.0,20,6.289,56,0,0.0,154.84615384615384,77.46153846153847
27,116,82.0,155.91,209.0,20,6.587,56,0,0.0,156.85185185185185,77.62962962962963
28,117,83.0,163.12,202.0,20,6.727,55,-1,-0.2,158.46428571428572,77.82142857142857
29,118,84.0,170.4,165.0,20,6.727,55,0,-0.2,158.68965517241378,78.03448275862068
30,119,84.0,177.83,135.0,20,7.026,55,0,-0.2,157.9,78.23333333333333
31,119,84.0,185.3,156.0,20,7.035,55,0,-0.2,153.13333333333333,78.9
32,120,85.0,192.74,181.0,20,7.11,55,0,-0.2,148.33333333333334,79.26666666666667
33,120,86.0,200.19,177.0,20,7.297,55,0,0.0,146.26666666666668,80.36666666666666
34,121,86.0,207.79,168.0,20,7.409,55,0,0.0,149.43333333333334,81.46666666666667
35,121,87.0,215.46,188.0,20,7.437,55,0,0.0,151.76666666666668,81.66666666666667
36,122,88.0,223.31,179.0,20,7.465,55,0,0.0,154.3,81.86666666666666
37,122,90.0,231.35,153.0,20,7.474,55,0,0.0,155.46666666666667,82.06666666666666
38,123,91.0,239.35,159.0,20,7.549,55,0,0.0,156.06666666666666,82.26666666666667
39,123,91.0,247.43,159.0,20,7.567,55,0,0.0,159.73333333333332,82.46666666666667
40,124,91.0,255.58,168.0,20,7.595,55,0,0.0,163.43333333333334,83.33333333333333
41,125,92.0,263.63,166.0,20,7.912,55,0,0.0,165.56666666666666,83.66666666666667
42,125,92.0,271.76,146.0,20,7.987,55,0,0.0,165.8,84.0
43,126,92.0,279.99,171.0,20,7.996,55,0,0.0,166.03333333333333,84.53333333333333
44,126,92.0,288.2,146.0,20,8.015,55,0,0.0,163.43333333333334,84.93333333333334
45,127,92.0,296.54,182.0,20,8.034,55,0,0.0,163.86666666666667,85.2
46,127,91.0,304.6,172.0,20,8.034,55,0,0.0,164.73333333333332,85.33333333333333
47,127,91.0,312.48,172.0,20,8.099,55,0,0.0,164.83333333333334,85.43333333333334
48,128,92.0,320.67,194.0,20,8.136,55,0,0.0,165.66666666666666,85.5
49,129,92.0,328.8,190.0,20,8.136,55,0,0.0,166.06666666666666,85.5
50,129,92.0,336.75,180.0,20,8.136,55,0,0.0,171.83333333333334,86.4
51,130,85.0,344.92,190.0,20,8.164,55,0,0.0,173.93333333333334,86.8
52,130,85.0,353.18,182.0,20,8.164,55,0,0.0,173.03333333333333,87.13333333333334
53,131,86.0,361.36,208.0,20,8.174,55,0,0.0,174.23333333333332,87.46666666666667
54,132,86.0,369.64,163.0,20,8.174,55,0,0.0,173.56666666666666,87.73333333333333
55,133,87.0,377.85,182.0,20,8.174,55,0,0.0,173.96666666666667,87.96666666666667
56,133,88.0,386.15,193.0,20,8.192,55,0,0.0,174.53333333333333,88.23333333333333
57,134,88.0,394.59,208.0,20,8.248,55,0,0.0,174.5,88.43333333333334
58,135,89.0,403.03,227.0,20,8.286,55,0,0.0,175.33333333333334,88.63333333333334
59,135,90.0,411.57,156.0,20,8.416,54,-1,-0.2,175.03333333333333,88.83333333333333
60,137,89.0,419.83,170.0,20,8.416,54,0,-0.2,176.2,89.0
61,137,89.0,428.06,220.0,20,8.491,54,0,-0.2,178.33333333333334,89.16666666666667
62,138,90.0,436.5,234.0,20,8.556,54,0,-0.2,180.1,89.33333333333333
63,138,90.0,445.01,195.0,20,8.594,54,0,-0.2,180.7,89.46666666666667
64,139,90.0,453.69,192.0,20,8.64,54,0,0.0,181.5,89.6
65,139,90.0,462.36,186.0,20,8.678,54,0,0.0,181.43333333333334,89.7
66,140,90.0,471.02,191.0,20,8.687,54,0,0.0,181.83333333333334,89.76666666666667
67,140,91.0,479.85,191.0,20,8.762,54,0,0.0,183.1,89.8
68,141,90.0,488.67,182.0,20,8.799,54,0,0.0,183.86666666666667,89.76666666666667
69,141,90.0,496.93,197.0,20,8.799,54,0,0.0,185.13333333333333,89.73333333333333
70,141,90.0,505.62,216.0,20,8.799,54,0,0.0,186.73333333333332,89.7
71,141,90.0,513.69,210.0,20,8.799,54,0,0.0,188.2,89.63333333333334
72,140,90.0,521.97,198.0,20,8.799,54,0,0.0,189.93333333333334,89.56666666666666
73,140,89.0,530.76,189.0,20,8.818,54,0,0.0,190.53333333333333,89.46666666666667
74,139,89.0,539.31,184.0,20,8.799,54,0,0.0,191.8,89.36666666666666
